Event,Name,Pid,Particle_px,Particle_py,Particle_pz,Particle_E,Particle_pT
4569,pi-,-211,-0.218985,0.305304,34.228,34.2304,0.37572
4570,pi-,-211,0.528075,-0.0049055,29.7321,29.7371,0.528097
4571,pi0,111,0.0650109,0.145097,19.7482,19.7493,0.158996
4572,pi-,-211,-0.0363001,-0.0414778,21.5168,21.5174,0.055119
4573,pi-,-211,-0.102907,0.214185,3.74961,3.75972,0.237624
4574,pi0,111,-0.223005,-0.0502003,19.2652,19.267,0.228585
4575,pi0,111,0.419009,-0.311017,19.019,19.0266,0.521824
4576,pi-,-211,-0.0678087,0.134393,3.59959,3.60543,0.150531
4577,pi0,111,0.128449,-0.187655,9.48594,9.48962,0.227406
4578,pi-,-211,0.36875,0.233612,39.7715,39.7742,0.436522
4579,pi-,-211,0.19708,0.0203164,6.38948,6.39408,0.198124
4580,pi-,-211,-0.194454,-0.0545117,19.7574,19.7589,0.20195
4581,pi-,-211,-0.259057,-0.19679,10.7204,10.7262,0.325326
4582,pi-,-211,0.0740373,0.0824619,3.66436,3.66869,0.110822
4583,pi0,111,0.270841,-0.05395,30.1568,30.1583,0.276162
4584,pi0,111,-0.131863,0.26139,8.09377,8.10019,0.292767
4585,pi-,-211,0.448556,0.0300931,45.807,45.8094,0.449564
4586,pi-,-211,-0.0614313,0.211283,16.1653,16.1674,0.220033
4587,pi-,-211,-0.0526757,-0.0468995,40.16,40.1603,0.0705287
4588,pi-,-211,-0.112896,-0.397054,16.2641,16.2699,0.412792
4589,pi-,-211,-0.0484933,0.0335711,4.99333,4.99562,0.0589798
4590,pi-,-211,-0.536876,0.0569041,15.2222,15.2324,0.539883
4591,pi0,111,0.300464,-0.175999,31.3215,31.3238,0.348216
4592,pi-,-211,0.318607,0.157341,16.8317,16.836,0.35534
4593,pi-,-211,0.231714,-0.0246236,1.67106,1.69299,0.233018
4594,pi0,111,0.233518,0.434451,30.8289,30.8331,0.493232
4595,pi-,-211,0.283819,-0.153764,8.97865,8.98554,0.322795
4596,pi0,111,0.417586,-0.18834,37.9274,37.9304,0.458094
4597,pi-,-211,-0.377943,0.417157,15.4813,15.4921,0.562905
4598,pi0,111,0.123949,-0.281813,23.8142,23.8166,0.307867
4599,pi0,111,0.0820686,-0.243562,35.8107,35.8118,0.257017
4600,pi-,-211,0.0484608,-0.680257,14.7546,14.771,0.681981
4601,pi0,111,0.423146,-0.0805916,23.8061,23.8104,0.430752
4602,pi0,111,-0.0492743,-0.269135,38.7073,38.7085,0.273609
4603,pi0,111,0.0107086,-0.191303,36.1895,36.1902,0.191602
4604,pi0,111,0.253215,-0.0613749,4.04739,4.05801,0.260547
4605,pi-,-211,-0.184554,-0.00694988,5.7219,5.72658,0.184685
4606,pi-,-211,-0.191208,0.169681,33.2971,33.2984,0.25564
4607,pi0,111,0.00735169,0.133234,8.8629,8.86494,0.133437
4608,pi-,-211,0.136793,0.0781606,17.8082,17.8094,0.157548
4609,pi0,111,0.031856,0.439112,16.4115,16.418,0.440266
4610,pi-,-211,-0.218997,-0.218083,7.92153,7.92878,0.309063
4611,pi0,111,-0.024276,-0.201971,14.9455,14.9475,0.203425
4612,pi0,111,-0.022679,0.0437841,19.6668,19.6674,0.0493091
4613,pi-,-211,-0.199982,0.188672,5.75238,5.76063,0.274936
4614,pi0,111,0.0654175,-0.0850635,1.19706,1.20942,0.107309
4615,pi0,111,-0.266224,-0.266262,9.12169,9.13046,0.376524
4616,pi-,-211,-0.179383,0.0973941,15.9111,15.913,0.204117
4617,pi-,-211,-0.110342,-0.0953035,1.11967,1.13771,0.145802
4618,pi-,-211,-0.0663422,0.274169,38.6491,38.6504,0.282081
4619,pi-,-211,0.0528751,-0.306752,14.5681,14.5721,0.311276
4620,pi-,-211,0.393365,-0.0854622,14.7694,14.7756,0.402542
4621,pi-,-211,-0.0759953,-0.278235,7.56016,7.56695,0.288427
4622,pi-,-211,0.042589,0.0594789,9.08445,9.08582,0.0731544
4623,pi-,-211,-0.0499799,-0.361513,17.4168,17.4211,0.364951
4624,pi0,111,0.268229,-0.359818,15.899,15.9059,0.448794
4625,pi-,-211,0.186301,-0.0450625,11.0107,11.0133,0.191673
4626,pi0,111,0.0691409,0.0432638,45.6161,45.6164,0.0815611
4627,pi0,111,0.205761,-0.192929,7.98779,7.9939,0.282062
4628,pi-,-211,-0.141532,-0.059044,6.88979,6.89291,0.153354
4629,pi0,111,0.096759,-0.13022,3.84783,3.85362,0.162233
4630,pi0,111,0.249757,-0.121637,8.367,8.3727,0.277802
4631,pi-,-211,0.13405,-0.00788553,19.264,19.265,0.134282
4632,pi-,-211,0.261883,-0.0183628,9.04522,9.0501,0.262526
4633,pi-,-211,0.0288499,-0.297265,26.6434,26.6454,0.298662
4634,pi-,-211,-0.199859,0.224628,28.6442,28.6461,0.300668
4635,pi0,111,0.0349792,0.315716,6.7799,6.78868,0.317647
4636,pi-,-211,-0.0571431,-0.169413,10.7165,10.7189,0.17879
4637,pi0,111,-0.239354,0.0411423,4.12576,4.13511,0.242864
4638,pi-,-211,0.171757,0.0299138,8.8988,8.90161,0.174342
4639,pi-,-211,-0.0348165,0.275433,11.5987,11.6029,0.277625
4640,pi0,111,0.281425,-0.0735726,9.07221,9.07788,0.290883
4641,pi-,-211,0.289109,-0.328907,14.6312,14.6384,0.437909
4642,pi-,-211,0.034329,-0.194104,8.23668,8.24022,0.197117
4643,pi0,111,-0.340548,0.241623,21.9834,21.9878,0.417558
4644,pi0,111,-0.246893,0.0888772,3.001,3.01548,0.262403
4645,pi-,-211,-0.0215785,0.380432,13.1716,13.1779,0.381044
4646,pi0,111,0.0347517,-0.124054,1.54855,1.55975,0.12883
